[00098] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=99 r=nanpx]
[00099] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=100 r=nanpx]
[00100] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=101 r=nanpx]
[00101] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=102 r=nanpx]
[00102] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=103 r=nanpx]
[00103] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=104 r=nanpx]
[00104] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=105 r=nanpx]
[00105] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=106 r=nanpx]
[00106] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=107 r=nanpx]
[00107] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=108 r=nanpx]
[00108] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=109 r=nanpx]
[00109] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=110 r=nanpx]
[00110] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=111 r=nanpx]
[00111] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=112 r=nanpx]
[00112] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=113 r=nanpx]
[00113] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=114 r=nanpx]
[00114] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=115 r=nanpx]
[00115] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=116 r=nanpx]
[00116] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=117 r=nanpx]
[00117] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=118 r=nanpx]
[00118] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=119 r=nanpx]
[00119] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=120 r=nanpx]
[00120] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=121 r=nanpx]
[00121] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=122 r=nanpx]
[00122] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=123 r=nanpx]
[00123] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=124 r=nanpx]
[00124] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=125 r=nanpx]
[00125] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=126 r=nanpx]
[00126] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=127 r=nanpx]
[00127] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=128 r=nanpx]
[00128] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=129 r=nanpx]
[00129] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=130 r=nanpx]
[00130] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=131 r=nanpx]
[00131] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=132 r=nanpx]
[00132] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=133 r=nanpx]
[00133] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=134 r=nanpx]
[00134] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=135 r=nanpx]
[00135] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=136 r=nanpx]
[00136] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=137 r=nanpx]
[00137] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=138 r=nanpx]
[00138] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=139 r=nanpx]
[00139] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=140 r=nanpx]
[00140] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=141 r=nanpx]
