[00119] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(142,774)] reg[LOCKED n=46 r=nanpx]
[00120] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(143,774)] reg[LOCKED n=46 r=nanpx]
[00121] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(145,774)] reg[LOCKED n=47 r=nanpx]
[00122] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(145,774)] reg[LOCKED n=48 r=nanpx]
[00123] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(146,773)] reg[LOCKED n=48 r=nanpx]
[00124] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(147,773)] reg[LOCKED n=49 r=nanpx]
[00125] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(153,773)] reg[LOCKED n=49 r=nanpx]
[00126] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(158,773)] reg[LOCKED n=50 r=nanpx]
[00127] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(161,773)] reg[LOCKED n=50 r=nanpx]
[00128] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(164,772)] reg[LOCKED n=51 r=nanpx]
[00129] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(169,773)] reg[LOCKED n=51 r=nanpx]
[00130] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(174,773)] reg[LOCKED n=51 r=nanpx]
[00131] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(176,773)] reg[LOCKED n=51 r=nanpx]
[00132] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(180,773)] reg[LOCKED n=51 r=nanpx]
[00133] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(185,773)] reg[LOCKED n=51 r=nanpx]
